"Story","Title","Result","Date","Stability","Duration (s)"
"Frontend tests","Check items materials","ERROR","2022-08-04T12:35:26.699059655Z[Etc/UTC]","0.0","3.98"
"Frontend tests","Check items prices","ERROR","2022-08-04T12:35:30.690152999Z[Etc/UTC]","0.0","0.36"
