"Story","Title","Result","Date","Stability","Duration (s)"
"Frontend tests","Check items materials","ERROR","2022-08-04T13:28:59.943421632Z[Etc/UTC]","0.0","4.83"
"Frontend tests","Check items prices","ERROR","2022-08-04T13:29:04.783601946Z[Etc/UTC]","0.0","0.25"
